Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Development stage],Term Source 2 REF,Term Source 2 Accession,Source Name,Experimental Condition,Comment [Image File Path],Comment [Image File Type],Channels
SupplementaryFigure06A,4Cell.Cell07-1.Position_0.stack_0.T000288_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell07-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell07-2.Position_0.stack_0.T000295_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell07-2,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell07-2.Position_0.stack_0.Ext.T000293_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell07-2,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell07-2.Position_0.stack_0.Ext.T000294_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell07-2,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell07-2.Position_0.stack_0.Ext.T000296_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell07-2,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell07-2.Position_0.stack_0.Ext.T000297_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell07-2,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell08-1.Position_0.stack_0.T000224_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell08-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell08-2.Position_0.stack_0.T000257_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell08-2,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell09-1.Position_0.stack_0.T000228_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell09-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell09-2.Position_0.stack_0.T000238_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell09-2,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell10-1.Position_0.stack_0.T000239_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell10-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell10-1.Position_0.stack_0.T000237_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell10-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell10-1.Position_0.stack_0.Ext.T000238_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell10-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell10-1.Position_0.stack_0.Ext.T000239_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell10-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell10-1.Position_0.stack_0.Ext.T000240_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell10-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell10-1.Position_0.stack_0.Ext.T000241_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell10-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell10-2.Position_0.stack_0.T000270_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell10-2,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell11-1.Position_0.stack_0.T000215_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell11-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell11-2.Position_0.stack_0.T000219_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell11-2,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell11-3.Position_0.stack_0.T000219_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell11-3,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell11-4.Position_0.stack_0.T000228_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell11-4,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell12-1.Position_0.stack_0.T000229_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell12-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell13-1.Position_0.stack_0.T000227_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell13-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,4Cell.Cell14-1.Position_0.stack_0.T000246_00.pattern,Mus musculus,NCBITaxon,10090,4cell,UBERON,0019251,Cell14-1,4cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell01-1.Position_0.stack_0.T000348_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell01-1,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell01-2.Position_0.stack_0.T000380_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell01-2,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell07-1.Position_0.stack_0.T000426_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell07-1,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell07-2.Position_0.stack_0.T000466_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell07-2,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell09-1.Position_0.stack_0.T000371_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell09-1,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell10-1.Position_0.stack_0.T000362_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell10-1,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell10-2.Position_0.stack_0.T000363_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell10-2,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell11-1.Position_0.stack_0.T000339_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell11-1,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell11-2.Position_0.stack_0.T000342_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell11-2,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell11-3.Position_0.stack_0.T000347_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell11-3,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell11-4.Position_0.stack_0.T000349_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell11-4,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,8Cell.Cell14-1.Position_0.stack_0.T000349_00.pattern,Mus musculus,NCBITaxon,10090,8cell,UBERON,0019252,Cell14-1,8cell,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell01.Position_0.stack_0.T000049_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell01,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell02.Position_0.stack_0.T000046_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell02,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell03.Position_0.stack_0.T000034_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell03,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell04.Position_0.stack_0.T000045_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell04,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell05.Position_0.stack_0.T000027_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell05,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell06.Position_0.stack_0.T000037_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell06,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell07.Position_0.stack_0.T000019_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell07,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell08.Position_0.stack_0.T000011_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell08,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell09.Position_0.stack_0.T000018_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell09,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell10.Position_0.stack_0.T000029_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell10,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell11.Position_0.stack_0.T000037_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell11,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell11.Position_0.stack_0.Ext.T000041_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell11,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell12.Position_0.stack_0.T000025_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell12,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell13.Position_0.stack_0.T000047_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell13,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell14.Position_0.stack_0.T000019_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell14,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell15.Position_0.stack_0.T000011_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell15,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell16.Position_0.stack_0.T000035_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell16,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell17.Position_0.stack_0.T000047_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell17,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell18.Position_0.stack_0.T000030_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell18,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell19.Position_0.stack_0.T000006_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell19,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell19.Position_0.stack_0.T000005_00.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell19,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell20.Position_0.stack_0.TCam_Right_00340.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell20,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell21.Position_0.stack_0.TCam_Right_00227.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell21,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell21.Position_0.stack_0.TCam_Right_00227-1.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell21,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell22.Position_0.stack_0.TCam_Right_00206.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell22,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell23.Position_0.stack_0.TCam_Right_00328.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell23,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell24.Position_0.stack_0.TCam_Right_00310.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell24,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell25.Position_0.stack_0.TCam_Right_00283.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell25,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell26.Position_0.stack_0.TCam_Right_00115.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell26,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell27.Position_0.stack_0.TCam_Right_00358.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell27,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell28.Position_0.stack_0.TCam_Right_00158.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell28,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell28.Position_0.stack_0.TCam_Right_00158-1.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell28,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell29.Position_0.stack_0.TCam_Right_00207.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell29,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell30.Position_0.stack_0.TCam_Right_00175.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell30,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06A,Zygotes.Cell31.Position_0.stack_0.TCam_Right_00115.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Cell31,zygote,Reichman-2018/SupplementaryFigure06A,raw,EB3
SupplementaryFigure06H,02_Cell_Stage.Embryo01.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo01.Alexa_647,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo02.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo02,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo03.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo03,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo04.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo04,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo05.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo05,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo06.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo06,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo07.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo07,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo08.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo08,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo09.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo09,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo10.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo10,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo11.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo11,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo12.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo12,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo13.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo13,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo14.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo14,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo15.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo15,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo16.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo16,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo17.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo17,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo18.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo18,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo19.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo19,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo20.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo20,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo21.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo21,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
SupplementaryFigure06H,02_Cell_Stage.Embryo22.pattern,Mus musculus,NCBITaxon,10090,2cell,UBERON,0019249,02_Cell_Stage.Embryo22,02_cell_stage,Reichman-2018/SupplementaryFigure06H,raw,EdU;DNA
